VOTEID	VOTE_DATE_DETAILED	VOTE_DATE	DOSSIERID	PROCEDURE_TITLE	ISSUE_TYPE	PROCEDURE_SUBJECT	COMMITTEE	PROCEDURE_TYPE	PROCEDURE_SUBTYPE	EP_ID	NAME_FULL	COUNTRY	NATIONAL_PARTY	GROUPE_ID	GENDER	BIRTHDATE	GEOSIZE	POP16	POP16_PERCENTAGE	GDP_BILLIONS	LANGUAGES	POLITICAL_SYS	NB_SEATS_IN_EU	CURRENCY	SCHENGEN_MEMBER	SCHENGEN_MEMBER_SINCE	EU_MEMBER_SINCE	USER_VOTE
58909	2015-10-27 13:27:16	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 5=16=	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(3.0, 3.0, 3.0)
58908	2015-10-27 13:27:02	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 4=15=	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(1.0, 4.0, 4.0)
58911	2015-10-27 13:27:54	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 7rev=18rev	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(0.0, 3.0, 6.0)
58899	2015-10-27 13:24:31	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 1	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(0.0, 5.0, 4.0)
58901	2015-10-27 13:25:10	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 9=20=	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(1.0, 3.0, 5.0)
58900	2015-10-27 13:24:53	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 8=19=	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(1.0, 3.0, 5.0)
58903	2015-10-27 13:25:43	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 11=22	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(0.0, 3.0, 6.0)
58902	2015-10-27 13:25:26	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 10=21	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(1.0, 3.0, 5.0)
58905	2015-10-27 13:26:15	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 13=24	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(0.0, 3.0, 6.0)
58904	2015-10-27 13:25:59	47.0	5639e71ed1d1c5608b000000	Open internet access	Am 12=23	"['2.40 Free movement of services, freedom to provide', '3.30.03.04 Telecommunication networks', '3.30.05 Electronic and mobile communications, personal communications', '3.30.06 Information and communication technologies', '3.30.20 Trans-European communications networks', '3.30.25 International information networks and society, internet', ""4.60.06 Consumers' economic and legal interests""]"	ITRE	COD - Ordinary legislative procedure (ex-codecision procedure)	Legislation	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	(3.0, 3.0, 3.0)
